paragraph_id,text,article_title,article_url,source_portal,publish_date,aceh_confidence,word_count,query_used,collector,topic,topic_score,topic_method,sentiment,sentiment_pos_count,sentiment_neg_count,sentiment_method,labeling_notes
1,DIALEKSIS.COM | Banda Aceh - Kementerian Ekonomi Kreatif/Badan Ekonomi Kreatif (Ekraf) mendorong pertumbuhan ekonomi digital nasional melalui program SiAP Sinergi Inkubasi Akselerasi dan Penguatan AKSELERASI Startup/Badan Usaha Jasa TIK Banda Aceh.,Kementerian Ekonomi Kreatif Luncurkan Program Akselerasi Startup TIK di Aceh,https://dialeksis.com/ekonomi/kementerian-ekonomi-kreatif-luncurkan-program-akselerasi-startup-tik-di-aceh/,dialeksis.com,"Mon, 24 Nov 2025 08:00:00 GMT",high,31,startup Aceh,Aulia,ecosystem,3.0,title_propagated,positive,2,0,auto,
2,"Kegiatan resmi dibuka pada Senin, 24 November 2025 di Banda Aceh dan akan berlangsung selama tiga hari, mulai 24-26 November 2025.",Kementerian Ekonomi Kreatif Luncurkan Program Akselerasi Startup TIK di Aceh,https://dialeksis.com/ekonomi/kementerian-ekonomi-kreatif-luncurkan-program-akselerasi-startup-tik-di-aceh/,dialeksis.com,"Mon, 24 Nov 2025 08:00:00 GMT",high,21,startup Aceh,Aulia,ecosystem,3.0,title_propagated,neutral,0,0,auto,
3,"Dengan mengusung tema inspiratif STARTUP-MU BISA JADI NEXT BIG THING!, program ini diikuti oleh 20 badan usaha dan startup Jasa TIK di Aceh, yang akan mendapatkan pendampingan intensif dari para pakar nasional untuk meningkatkan kapasitas bisnis, teknologi, dan kolaborasi.",Kementerian Ekonomi Kreatif Luncurkan Program Akselerasi Startup TIK di Aceh,https://dialeksis.com/ekonomi/kementerian-ekonomi-kreatif-luncurkan-program-akselerasi-startup-tik-di-aceh/,dialeksis.com,"Mon, 24 Nov 2025 08:00:00 GMT",high,39,startup Aceh,Aulia,ecosystem,3.0,title_propagated,neutral,1,0,auto,
4,"Direktur Jasa Teknologi Informasi dan Komunikasi Kementerian Ekraf, Abdul Malik, dalam sambutannya menegaskan bahwa akselerasi startup digital merupakan langkah strategis untuk memperkuat kompetisi Aceh di era ekonomi berbasis kreativitas dan inovasi.",Kementerian Ekonomi Kreatif Luncurkan Program Akselerasi Startup TIK di Aceh,https://dialeksis.com/ekonomi/kementerian-ekonomi-kreatif-luncurkan-program-akselerasi-startup-tik-di-aceh/,dialeksis.com,"Mon, 24 Nov 2025 08:00:00 GMT",high,31,startup Aceh,Aulia,digitalization,6.0,auto,positive,2,0,auto,
5,"Program akselerasi ini menjadi langkah strategis untuk memperkuat kapasitas dan daya saing badan usaha Jasa TIK di Aceh melalui materi praktis dan pendampingan langsung dari para ahli nasional. Kami ingin melahirkan inovasi baru dan mendorong terbentuknya ekosistem ekonomi kreatif berbasis teknologi yang berkelanjutan dan kompetitif, ujar Abdul Malik.",Kementerian Ekonomi Kreatif Luncurkan Program Akselerasi Startup TIK di Aceh,https://dialeksis.com/ekonomi/kementerian-ekonomi-kreatif-luncurkan-program-akselerasi-startup-tik-di-aceh/,dialeksis.com,"Mon, 24 Nov 2025 08:00:00 GMT",high,48,startup Aceh,Aulia,ecosystem,5.0,auto,positive,3,0,auto,
6,"Dalam pemaparannya, Abdul Malik menegaskan bahwa pemerintah memberikan prioritas besar terhadap pengembangan ekonomi kreatif. Hal ini ditandai dengan pembentukan dua lembaga sekaligus melalui kebijakan nasional.",Kementerian Ekonomi Kreatif Luncurkan Program Akselerasi Startup TIK di Aceh,https://dialeksis.com/ekonomi/kementerian-ekonomi-kreatif-luncurkan-program-akselerasi-startup-tik-di-aceh/,dialeksis.com,"Mon, 24 Nov 2025 08:00:00 GMT",medium,25,startup Aceh,Aulia,regulation,3.0,auto,neutral,1,0,auto,
7,"Untuk mengurus ekonomi kreatif, pemerintah membentuk bukan hanya satu, tetapi dua lembaga sekaligus melalui Peraturan Presiden Nomor 199 Tahun 2024. Ini menunjukkan betapa ekonomi kreatif telah dipandang sebagai mesin baru pertumbuhan ekonomi nasional, jelasnya.",Kementerian Ekonomi Kreatif Luncurkan Program Akselerasi Startup TIK di Aceh,https://dialeksis.com/ekonomi/kementerian-ekonomi-kreatif-luncurkan-program-akselerasi-startup-tik-di-aceh/,dialeksis.com,"Mon, 24 Nov 2025 08:00:00 GMT",medium,34,startup Aceh,Aulia,regulation,3.0,auto,neutral,1,0,auto,
8,"Lebih jauh, ia menyampaikan bahwa Aceh memiliki posisi strategis, karena selain menjadi salah satu dari 15 provinsi prioritas pengembangan ekonomi kreatif nasional, menteri sekaligus kepala badan ekonomi kreatif hari ini merupakan putra Aceh, Teuku Riefky Harsya yang dipercaya langsung oleh Presiden RI, Prabowo Subianto.",Kementerian Ekonomi Kreatif Luncurkan Program Akselerasi Startup TIK di Aceh,https://dialeksis.com/ekonomi/kementerian-ekonomi-kreatif-luncurkan-program-akselerasi-startup-tik-di-aceh/,dialeksis.com,"Mon, 24 Nov 2025 08:00:00 GMT",high,44,startup Aceh,Aulia,ecosystem,3.0,title_propagated,positive,2,0,auto,
9,"Ini peluang besar bagi Aceh. Karena pimpinannya putra Aceh, dan provinsi ini menjadi prioritas nasional, maka kesempatan untuk melaju terbuka sangat luas, tegas Malik.",Kementerian Ekonomi Kreatif Luncurkan Program Akselerasi Startup TIK di Aceh,https://dialeksis.com/ekonomi/kementerian-ekonomi-kreatif-luncurkan-program-akselerasi-startup-tik-di-aceh/,dialeksis.com,"Mon, 24 Nov 2025 08:00:00 GMT",high,24,startup Aceh,Aulia,ecosystem,3.0,title_propagated,neutral,1,0,auto,
10,"Abdul Malik juga menjelaskan perbedaan fundamental antara UMKM dan ekonomi kreatif. UMKM dan ekonomi kreatif bersinergi, tapi tidak sama. Ekonomi kreatif berbicara tentang nilai tambah dari kekayaan intelektual dan ide. Nilai tambah itulah yang menciptakan pertumbuhan ekonomi, jelasnya.",Kementerian Ekonomi Kreatif Luncurkan Program Akselerasi Startup TIK di Aceh,https://dialeksis.com/ekonomi/kementerian-ekonomi-kreatif-luncurkan-program-akselerasi-startup-tik-di-aceh/,dialeksis.com,"Mon, 24 Nov 2025 08:00:00 GMT",medium,38,startup Aceh,Aulia,ecosystem,3.0,title_propagated,neutral,1,0,auto,
