No,Peneliti,Insight,Wilayah,Temuan Utama,Data Pendukung,Implikasi
1,Aulia,"Talenta Digital ""Hijrah"" ke Luar Daerah (Brain Drain)",Lhokseumawe (Diaspora),"Dari 17 entitas, 3 entitas (Amanah Corp, Transact Australia, AvandaMobil) didirikan orang asli Lhokseumawe namun beroperasi di luar daerah.","2 dari 4 entitas yang mencapai tahap Scaling didirikan oleh orang Lhokseumawe namun berkembang di luar Aceh (Amanah Corp, AvandaMobil).","Ekosistem lokal belum mampu mempertahankan talenta dan mendukung pertumbuhan startup hingga tahap scaling, khususnya untuk sektor teknologi murni."
,Aulia,"Tingkat ""Ghosting"" Ekosistem Sangat Tinggi (41%)",Lhokseumawe & Bireuen,"Hampir separuh ekosistem bisnis rintisan di wilayah ini berstatus tidak aktif, mati suri (ghosting), atau sekadar ide yang tak berjalan.","Dari 17 data, 7 entitas (41%) berstatus ghosting/tidak aktif: 5 Startup (SIPOLI, Forganic, Fugha, Transact, Bepal) dan 2 UMKM Digital (BUMOE, Cold Brew). Semuanya yang ghosting berasal dari binaan kampus.","Kurangnya dukungan pasca-inkubasi (pendanaan lanjutan, akses pasar, dan ekosistem bisnis) menyebabkan banyak entitas tumbang di tengah jalan."
2,Aulia,Survival Rate Binaan Kampus (Unimal) Rendah — Hanya 33%,Lhokseumawe,"Mayoritas bisnis binaan inkubator kampus (program PPBT Unimal 2019) gagal bertahan di pasar riil. Dari 6 binaan, hanya 2 yang masih aktif (Plastik Sago & That Groen).",Survival rate 33% (2/6). Forganic bahkan punya izin BPOM & penghargaan ASEAN Japan Center tapi tetap ghosting.,"Program inkubasi kampus berhasil melahirkan prototipe produk riset, namun gagal membentuk model bisnis yang komersial dan mandiri. Gap terbesar di fase post-incubation."
3,Aulia,UMKM Digital Lebih Tahan Banting dari Startup (71% vs 50%),Lhokseumawe & Bireuen,"UMKM Digital memiliki survival rate 71% (5/7 aktif), lebih tinggi dari Startup 50% (5/10 aktif). UMKM Digital yang tumbuh organik (ByLilu, Kamiikan, Beujroh, Mom n Me) semuanya aktif; yang ghosting (BUMOE, Cold Brew) berasal dari inkubator kampus.","Startup: 10 total, 5 aktif (50%). UMKM Digital: 7 total, 5 aktif (71%). UMKM Digital organik: 5/5 aktif (100%).",Bisnis tradisional berbasis produk nyata yang merambah digital lebih realistis bagi kesiapan pasar lokal. Asal-usul organik vs binaan lebih menentukan survival ketimbang label kategori.
,Aulia,Digital Presence: Instagram Jadi Tulang Punggung (90% yang Aktif Punya IG),Lhokseumawe & Bireuen,"Instagram menjadi kanal digital paling dominan. 90% entitas aktif punya Instagram, sementara hanya 29% yang ghosting punya Instagram. Website dan LinkedIn masih sangat minim.",Punya IG: 11/17 (65%). Punya Website: 8/17 (47%). Punya LinkedIn: 5/17 (29%). Punya App: 3/17 (18%). Korelasi: 9/10 aktif punya IG vs 2/7 ghosting punya IG.,"Instagram bisa dijadikan entry point edukasi dan digitalisasi UMKM. Program pendampingan perlu membangun dari IG ke aset digital lebih lanjut (website, app)."
4,Aulia,"Lhokseumawe Dominan Tapi ""Keropos"", Bireuen Kecil Tapi Sehat, Aceh Utara Blank Zone","Lhokseumawe, Bireuen & Aceh Utara",Lhokseumawe memiliki 11 entitas tapi survival hanya 45% (5/11). Bireuen hanya 3 entitas tapi survival 100% (3/3). Aceh Utara = 0 entitas.,"Lhokseumawe: 11 total, 5 aktif (45%). Bireuen: 3 total, 3 aktif (100%). Diaspora: 3 total, 2 aktif (67%). Aceh Utara: 0.",Persebaran ekosistem digital sangat terpusat. Kuantitas tidak menjamin kualitas — Bireuen lebih sehat meski lebih kecil. Aceh Utara memerlukan intervensi khusus.
5,Aulia,Gelombang 2019 (PPBT) — Survival Rate Paling Rendah (20%),Lhokseumawe,"Entitas yang berdiri sebelum 2019 punya survival rate sempurna 100% (5/5), sedangkan gelombang PPBT 2019 hanya 20% (1/5 — hanya That Groen). Bisnis organik jauh lebih tahan.","Pre-2019: 5 entitas, 5 aktif (100%). 2019 (PPBT): 5 entitas, 1 aktif (20%). Post-2019: 4 entitas, 2 aktif (50%).","Program hibah pemerintah menghasilkan ledakan kuantitas tapi tanpa validasi pasar yang kuat, mayoritas tidak bertahan. Perlu syarat validasi pasar wajib sebelum pemberian hibah."
6,Taris,"Label ""startup transportasi"" di daerah ini masih longgar, mayoritas cuma operasional manual berbaju digital",Nagan Raya,"Ride-hailing lokal masih pra-digital, tapi punya satu startup app-based nyata","Nagojek, Bagah Jek, Eka Ojek Muslimah = WA-only; Kamoe Antar app terverifikasi Play Store sejak 2020",Peluang besar bagi pemain baru yang mau digitalisasi transportasi karena 3 dari 4 pemain belum punya app
,Taris,"Kampus (UTU) jadi motor utama lahirnya startup, bukan inisiatif pasar bebas",Aceh Barat,"Paling terdiversifikasi, satu-satunya punya startup tech asli & fintech app","TERPALIN.ID (agritech, juara nasional), Meulaboh Payment (app PPOB), 14 seller Tokopedia",Ekosistem paling matang di 4 wilayah cocok jadi hub jika mau ekspansi bisnis serupa
,Taris,"Digitalnya ""terpaksa"" karena target pasar turis asing, bukan hasil inovasi teknologi lokal",Simeulue,"Monokultur pariwisata digital, nol startup swasta",14 dari 16 entitas = resor selancar berbasis website/OTA; aplikasi yang ada cuma milik Pemkab,Sangat rentan kalau sektor wisata lesu nyaris tak ada diversifikasi ekonomi digital
