paragraph_id,text,article_title,article_url,source_portal,publish_date,aceh_confidence,word_count,query_used,collector,topic,topic_score,topic_method,sentiment,sentiment_pos_count,sentiment_neg_count,sentiment_method,labeling_notes
39,"Menurutnya, kolaborasi yang dibangun mencakup pengembangan kapasitas sumber daya manusia, akses pembiayaan, penguatan jejaring kemitraan, adopsi teknologi, hingga penyusunan regulasi yang mendukung pertumbuhan startup dan technopreneur.",Pemko Banda Aceh Dukung Deklarasi Nasional Pengembangan Startup Digital dan Techpreneur 2026,https://www.noa.co.id/pemko-banda-aceh-dukung-deklarasi-nasional-pengembangan-startup-digital-dan-techpreneur-2026/,noa.co.id,2026-06-23,medium,26,startup Aceh,Aulia,,4.0,needs_review,positive,6,0,auto,
47,"Harapannya, inovasi yang lahir dari Banda Aceh tidak hanya mampu bersaing di tingkat nasional, tetapi juga menembus pasar internasional serta menjadi motor penggerak ekonomi daerah yang berkelanjutan, ujarnya.",Pemko Banda Aceh Dukung Deklarasi Nasional Pengembangan Startup Digital dan Techpreneur 2026,https://www.noa.co.id/pemko-banda-aceh-dukung-deklarasi-nasional-pengembangan-startup-digital-dan-techpreneur-2026/,noa.co.id,2026-06-23,high,28,startup Aceh,Aulia,,2.0,needs_review,positive,2,0,auto,
110,Banda Aceh (ANTARA) - Kementerian Komunikasi dan Digital (Kemkomdigi) mendukung penuh upaya Pemerintah Kota Banda Aceh untuk mengejar target melahirkan 100startup(perusahaan rintisan digital) dalam jangka waktu lima tahun ke depan melalui program Banda Aceh Academy.,Komdigi dukung target Pemkot Banda Aceh lahirkan 100 startup,https://www.antaranews.com/berita/5085353/komdigi-dukung-target-pemkot-banda-aceh-lahirkan-100-startup,antaranews.com,2025-09-03,high,35,startup Aceh,Aulia,,2.0,needs_review,neutral,1,0,auto,
112,"Pernyataan itu disampaikan Sonny Hendra Sudaryana saat melihat Gedung Banda Aceh Academy yang sedang dalam proses renovasi, turut didampingi langsung Wali Kota Banda Aceh Illiza Sa'aduddin Djamal, di Banda Aceh.",Komdigi dukung target Pemkot Banda Aceh lahirkan 100 startup,https://www.antaranews.com/berita/5085353/komdigi-dukung-target-pemkot-banda-aceh-lahirkan-100-startup,antaranews.com,2025-09-03,high,30,startup Aceh,Aulia,,2.0,needs_review,neutral,0,0,auto,
113,Dirinya mengaku kaget melihat antusiasme Wali Kota Banda Aceh untuk bisa membantu pengembanganstartupdengan target 100startupdalam lima tahun ke depan melalui program Banda Aceh Academy ini.,Komdigi dukung target Pemkot Banda Aceh lahirkan 100 startup,https://www.antaranews.com/berita/5085353/komdigi-dukung-target-pemkot-banda-aceh-lahirkan-100-startup,antaranews.com,2025-09-03,high,25,startup Aceh,Aulia,,0.0,needs_review,neutral,1,0,auto,
114,"Ia menyampaikan, di tengah bonus demografi ini, generasi muda harus memiliki channel untuk menyalurkan bakat mereka, sehingga nantinya tidak mengarah pada hal-hal negatif.",Komdigi dukung target Pemkot Banda Aceh lahirkan 100 startup,https://www.antaranews.com/berita/5085353/komdigi-dukung-target-pemkot-banda-aceh-lahirkan-100-startup,antaranews.com,2025-09-03,medium,23,startup Aceh,Aulia,,1.0,needs_review,neutral,0,0,auto,
116,"Dirinya menegaskan, dukungan pasti Komdigi terhadap pengembangan Banda Aceh Academy ini nantinya melalui program yang sudah berjalan, seperti Digital Talent Scholarship (DTS).",Komdigi dukung target Pemkot Banda Aceh lahirkan 100 startup,https://www.antaranews.com/berita/5085353/komdigi-dukung-target-pemkot-banda-aceh-lahirkan-100-startup,antaranews.com,2025-09-03,high,22,startup Aceh,Aulia,,2.0,needs_review,positive,2,0,auto,
120,"""Jadi harapannya Kota Banda Aceh bisa kontribusi terhadap performa nasional. Karena ini juga mendukung target pemerintah untuk menciptakan 1.000startup,"" katanya.",Komdigi dukung target Pemkot Banda Aceh lahirkan 100 startup,https://www.antaranews.com/berita/5085353/komdigi-dukung-target-pemkot-banda-aceh-lahirkan-100-startup,antaranews.com,2025-09-03,high,20,startup Aceh,Aulia,,1.0,needs_review,positive,3,0,auto,
122,"Dilarang keras mengambil konten, melakukan crawling atau pengindeksan otomatis untuk AI di situs web ini tanpa izin tertulis dari Kantor Berita ANTARA.",Komdigi dukung target Pemkot Banda Aceh lahirkan 100 startup,https://www.antaranews.com/berita/5085353/komdigi-dukung-target-pemkot-banda-aceh-lahirkan-100-startup,antaranews.com,2025-09-03,medium,22,startup Aceh,Aulia,,0.0,needs_review,neutral,0,0,auto,
195,"Kanalinsirasi.com, Banda Aceh | Sebanyak 12 tim terpilih mengikuti private class program Aceh Digital Innovation and Creativity Techfest (ADICT). Kegiatan tersebut merupakan kolaborasi Aneuk Muda Aceh Unggul dan Hebat (AMANAH) bersama Markas Aceh.",AMANAH dan Markas Aceh Kembangkan 12 Startup Lokal,https://www.kanalinspirasi.com/news/amanah-dan-markas-aceh-kembangkan-12-startup-lokal/index.html,kanalinspirasi.com,2024-07-20,high,33,startup Aceh,Aulia,,2.0,needs_review,positive,2,0,auto,
