No,Nama Bisnis/Startup,Kabupaten/Kota,Tahun Berdiri,Founder(s),Industri/Sektor,Deskripsi Singkat,Website,Instagram,LinkedIn,Play Store/App Store,Model Bisnis,Tahap,Status Operasional,Target Market,Sumber/Referensi,Kategori Kualifikasi Digital
1,Nagojek,Nagan Raya,-,-,Transportasi Online,Layanan ojek dan kurir logistik lokal yang beroperasi melalui pemesanan WhatsApp (belum punya aplikasi mandiri).,-,-,-,-,B2C,Scale,Aktif,Lokal (Nagan Raya),dishub.naganrayakab.go.id,Bukan Keduanya (Konvensional/WA-based)
2,Bagah Jek Delivery,Nagan Raya,-,-,Transportasi Online,"Fokus pengangkutan dan pengantaran barang rute Nagan Raya-Meulaboh, pemesanan via WhatsApp.",-,-,-,-,B2B/B2C,Scale,Aktif,Lokal (Nagan Raya-Meulaboh),dishub.naganrayakab.go.id,Bukan Keduanya (Konvensional/WA-based)
3,Eka Ojek Muslimah,Nagan Raya,-,-,Transportasi Online,"Ojek daring eksklusif untuk penumpang muslimah, pemesanan via WhatsApp.",-,-,-,-,B2C,Scale,Aktif,Lokal (Nagan Raya),dishub.naganrayakab.go.id,Bukan Keduanya (Konvensional/WA-based)
4,Toko Nagar Galery,Nagan Raya,2024,-,Ritel Online,"UMKM e-commerce di Tokopedia, aktif memakai promosi dan pembayaran digital.",tokopedia.com/nagar-galery,-,-,-,B2C,Scale,Aktif,Nasional,tokopedia.com/nagar-galery,Digital Bisnis (Marketplace)
5,Permata Aceh,Nagan Raya,2022,-,Kriya Digital,"Toko daring batu cincin dan nephrite jade asli, jangkauan nasional.",tokopedia.com/permataaceh1,-,-,-,B2C,Scale,Aktif,Nasional,tokopedia.com/permataaceh1,Digital Bisnis (Marketplace)
6,Amras Cosmetik,Nagan Raya,-,-,Ritel Online,"Pedagang daring skala besar di Tokopedia, puluhan merek skincare/kecantikan.",tokopedia.com/amras-cosmetik,-,-,-,B2C,Scale,Aktif,Nasional,tokopedia.com/amras-cosmetik,Digital Bisnis (Marketplace)
7,Aulia Baru Store,Nagan Raya,2025,-,Fashion Digital,"Bisnis pakaian pria (celana, kemeja formal) dipasarkan sepenuhnya daring.",tokopedia.com/aulia-baru-store,-,-,-,B2C,Scale,Aktif,Nasional,tokopedia.com/aulia-baru-store,Digital Bisnis (Marketplace)
8,Jannahhennanails,Nagan Raya,2023,-,Kecantikan Digital,"Kreator press-on nails kustom dan henna, pelanggan seluruh Indonesia.",tokopedia.com/jannahhennanails,-,-,-,B2C,Scale,Aktif,Nasional,tokopedia.com/jannahhennanails,Digital Bisnis (Marketplace)
9,Misqalgems1,Nagan Raya,-,-,Kriya Digital,"Toko perhiasan e-commerce, memasarkan gelang giok nephrite dan black jade.",shopee.co.id/misqalgems1,-,-,-,B2C,Scale,Aktif,Nasional,shopee.co.id/misqalgems1,Digital Bisnis (Marketplace)
10,ISAMBA,Nagan Raya,-,-,F&B Digital,"Kelompok pengusaha ikan asap, dapat pelatihan pengemasan & pemasaran digital dari akademisi.",-,instagram.com/isamba.store,-,-,B2B/B2C,Idea,Aktif,Lokal (Nagan Raya),instagram.com/isamba.store,"Bukan Keduanya (Promosi IG saja, belum ada kanal transaksi)"
11,TERPALIN.ID,Aceh Barat,-,Mahasiswa/Alumni Akuakultur UTU (Aris Yusdi dkk.),Startup Akuakultur,"Startup binaan UTU: ekosistem budidaya ikan air tawar berbasis teknologi (SmartFarm), edukasi & pendampingan. Juara 3 Nasional UMiyourtpreneur 2025.",-,instagram.com/terpalin.id,-,-,B2B/B2C,Growth,Aktif,Nasional (ekspansi Aceh & Sumatra),instagram.com/terpalin.id ; utu.ac.id,"Startup (tervalidasi, tech-based)"
